frame,timestamp,angle_delta,snap_count,lock_count,flag
101,1746360006.8400354,0.0,0,0,False
102,1746360006.9360354,0.0,0,0,False
103,1746360007.030036,0.0,0,0,False
104,1746360007.131034,0.0,0,0,False
105,1746360007.2300365,0.0,0,0,False
106,1746360007.3300343,0.0,0,0,False
107,1746360007.4410355,0.0,0,0,False
108,1746360007.5560372,0.0,0,0,False
109,1746360007.6726875,0.0,0,0,False
110,1746360007.7973301,0.0,0,0,False
111,1746360007.9120572,0.0,0,0,False
112,1746360008.0271409,0.0,0,0,False
113,1746360008.1451776,0.0,0,0,False
114,1746360008.2547655,0.0,0,0,False
115,1746360008.3688836,0.0,0,0,False
116,1746360008.475006,0.0,0,0,False
117,1746360008.5900478,0.0,0,0,False
118,1746360008.7141497,0.0,0,0,False
119,1746360008.8427098,0.0,0,0,False
120,1746360008.9637096,0.0,0,0,False
121,1746360009.0887465,0.0,0,0,False
122,1746360009.2128978,0.0,0,0,False
123,1746360009.32896,0.0,0,0,False
124,1746360009.4380486,0.0,0,0,False
125,1746360009.550081,0.0,0,0,False
126,1746360009.6591702,7.0,1,0,False
127,1746360009.7767966,0.0,1,0,False
128,1746360009.8908756,31.8,2,0,False
129,1746360010.0099328,6.5,2,0,False
130,1746360010.1229308,2.2,2,0,False
131,1746360010.2379677,0.0,2,0,False
132,1746360010.3470175,0.0,2,0,False
133,1746360010.4596782,0.0,2,0,False
134,1746360010.5777898,0.0,2,0,False
135,1746360010.6950634,0.0,2,0,False
136,1746360010.8096611,3.3,3,0,False
137,1746360010.9242387,3.1,3,0,False
138,1746360011.040292,11.1,3,0,False
139,1746360011.1548648,10.0,3,0,False
140,1746360011.2630885,1.2,2,0,False
141,1746360011.3746383,351.6,2,0,False
142,1746360011.4912133,7.1,1,0,False
143,1746360011.6028774,366.4,1,0,False
144,1746360011.7210386,1.9,1,0,False
145,1746360011.8381228,360.0,1,0,False
146,1746360011.9501684,0.0,1,0,False
147,1746360012.0649068,2.0,1,0,False
148,1746360012.179217,2.0,1,0,False
149,1746360012.29226,360.1,1,0,False
150,1746360012.4048762,360.0,0,0,False
151,1746360012.5160627,0.0,0,0,False
